Make,Model,Vehicle Class,Engine Size,Cylinders,Transmission,Fuel Type,Fuel Consumption City (L/100 km),Fuel Consumption Hwy (L/100 km),Fuel Consumption Comb (L/100 km),Fuel Consumption Comb (mpg),CO2 Emissions
AUDI,A8 TDI (modified),MID-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
AUDI,A8L,FULL-SIZE,3,6,AS8,Z,13.1,8.8,11.2,25,258
AUDI,A8L,FULL-SIZE,4,8,AS8,Z,14.7,9.7,12.5,23,288
AUDI,A8L,FULL-SIZE,6.3,12,AS8,Z,18.7,11.5,15.5,18,363
AUDI,A8L TDI (modified),FULL-SIZE,3,6,AS8,D,9.8,6.5,8.4,34,224
AUDI,ALLROAD QUATTRO,STATION WAGON - SMALL,2,4,AS8,Z,11.8,8.8,10.5,27,242
AUDI,Q5,SUV - SMALL,2,4,AS8,Z,12,8.5,10.4,27,239
AUDI,Q5,SUV - SMALL,3,6,AS8,Z,12.9,9.2,11.2,25,258
AUDI,Q5 TDI (modified),SUV - SMALL,3,6,AS8,D,10.2,7.8,9,31,244
AUDI,Q5 HYBRID,SUV - SMALL,2,4,AS8,Z,9.9,8.3,9.2,31,212
AUDI,Q7,SUV - STANDARD,3,6,AS8,Z,15.1,10.9,13.2,21,304
AUDI,Q7 TDI (modified),SUV - STANDARD,3,6,AS8,D,12.4,8.7,10.7,26,290
AUDI,R8,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
AUDI,R8,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
AUDI,R8,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
AUDI,R8,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,A7,Z,17.6,11,14.6,19,336
AUDI,R8 SPYDER,TWO-SEATER,4.2,8,M6,Z,21.2,13.4,17.7,16,407
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,A7,Z,18.2,10.6,14.8,19,347
AUDI,R8 SPYDER,TWO-SEATER,5.2,10,M6,Z,21.1,13.8,17.8,16,409
AUDI,RS 5,SUBCOMPACT,4.2,8,A7,Z,15.3,10.9,13.3,21,306
AUDI,RS 5 CABRIOLET,SUBCOMPACT,4.2,8,A7,Z,15.2,11.3,13.4,21,308
AUDI,RS 7,MID-SIZE,4,8,AS8,Z,15.5,8.8,12.5,23,293
AUDI,S4,COMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
AUDI,S4,COMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
AUDI,S5,SUBCOMPACT,3,6,A7,Z,13.2,9.2,11.4,25,262
AUDI,S5,SUBCOMPACT,3,6,M6,Z,14.6,9.8,12.4,23,285
AUDI,S5 CABRIOLET,SUBCOMPACT,3,6,A7,Z,13.3,9.5,11.6,24,267
AUDI,S6,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
AUDI,S7,MID-SIZE,4,8,A7,Z,14.2,9.7,12.2,23,281
AUDI,S8,MID-SIZE,4,8,AS8,Z,15.8,9.2,12.8,22,300
AUDI,SQ5,SUV - SMALL,3,6,AS8,Z,14.9,10.1,12.7,22,292
AUDI,TT COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,10.4,7.6,9.1,31,209
AUDI,TT ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,10.4,7.6,9.1,31,209
AUDI,TTS COUPE QUATTRO,SUBCOMPACT,2,4,A6,Z,11.5,8.8,10.3,27,237
AUDI,TTS ROADSTER QUATTRO,TWO-SEATER,2,4,A6,Z,11.5,8.8,10.3,27,237
BENTLEY,CONTINENTAL GT,SUBCOMPACT,4,8,AS8,Z,16.3,9.8,13.4,21,314
BENTLEY,CONTINENTAL GT,SUBCOMPACT,6,12,AS8,Z,18.8,11.5,15.5,18,356
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,4,8,AS8,Z,17.4,10.2,14.2,20,332
BENTLEY,CONTINENTAL GTC,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
BENTLEY,CONTINENTAL GT SPEED CONVERTIBLE,SUBCOMPACT,6,12,AS8,Z,20,12.2,16.5,17,380
BENTLEY,FLYING SPUR,MID-SIZE,6,12,AS8,Z,20.3,11.9,16.5,17,388
BENTLEY,MULSANNE,MID-SIZE,6.8,8,AS8,Z,22.3,14.9,19,15,437
BMW,320i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW,320i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
BMW,320i xDRIVE,COMPACT,2,4,A8,Z,10.2,7,8.8,32,202
BMW,328d xDRIVE,COMPACT,2,4,A8,D,7.6,5.5,6.7,42,181
BMW,328d xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,D,7.6,5.5,6.7,42,181
BMW,328i,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW,328i,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
BMW,328i xDRIVE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW,328i xDRIVE GRAN TURISMO,FULL-SIZE,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW,328i xDRIVE TOURING,STATION WAGON - SMALL,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW,335i,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
BMW,335i,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
BMW,335i xDRIVE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
BMW,335i xDRIVE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
BMW,335i xDRIVE GRAN TURISMO,FULL-SIZE,3,6,A8,Z,11.9,8,10.1,28,232
BMW,428i COUPE,COMPACT,2,4,A8,Z,10,6.5,8.4,34,193
BMW,428i COUPE,COMPACT,2,4,M6,Z,10.4,6.7,8.7,32,200
BMW,428i xDRIVE COUPE,COMPACT,2,4,A8,Z,10.6,7.2,9.1,31,209
BMW,435i COUPE,COMPACT,3,6,A8,Z,11.4,7.3,9.6,29,221
BMW,435i COUPE,COMPACT,3,6,M6,Z,11.8,7.9,10,28,230
BMW,435i xDRIVE COUPE,COMPACT,3,6,A8,Z,11.7,7.8,9.9,29,228
BMW,435i xDRIVE COUPE,COMPACT,3,6,M6,Z,11.9,8.3,10.3,27,237
BMW,528i,MID-SIZE,2,4,A8,Z,10.2,7,8.8,32,202
